scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
swiglu,dynamic_ephemeral,32,8192,32768,32,8,float16,3,0.6654699022571245,0.15293324773125658,0.5121832713484764,0.8180472999811172,0.17306026142154202
swiglu,dynamic_ephemeral,32,8192,32768,64,8,float16,3,1.1929466078678768,0.05707047447866529,1.1528072878718376,1.258278451859951,0.06458132145395266
swiglu,static_ephemeral,1,2048,8192,16,0,float16,3,0.16465031852324805,0.03905509472036197,0.1276036724448204,0.20544379949569702,0.04419500012205354
swiglu,static_ephemeral,1,2048,8192,32,0,float16,3,0.16153460989395776,0.05502815707482041,0.1296520233154297,0.22507552057504654,0.06227022174830688
swiglu,static_ephemeral,1,2048,8192,64,0,float16,3,0.13014661769072214,0.01565346161536982,0.11958051472902298,0.14813002198934555,0.017713559343671154
swiglu,static_ephemeral,1,4096,16384,16,0,float16,3,0.1397017389535904,0.012864643447297156,0.12550223618745804,0.15058033168315887,0.014557714500358114
swiglu,static_ephemeral,1,4096,16384,32,0,float16,3,0.20516589283943176,0.05287469415512021,0.14418531209230423,0.23825615644454956,0.059833349051404465
swiglu,static_ephemeral,1,4096,16384,64,0,float16,3,0.3336492305000623,0.1829573761390813,0.12388862669467926,0.46029575169086456,0.20703576111368738
swiglu,static_ephemeral,1,8192,32768,16,0,float16,3,0.285332091152668,0.18615919556459834,0.13256967067718506,0.49268268048763275,0.21065896087583627
swiglu,static_ephemeral,1,8192,32768,32,0,float16,3,0.20340892175833383,0.03652356275556691,0.16206391155719757,0.23128651082515717,0.04133030202583386
swiglu,static_ephemeral,1,8192,32768,64,0,float16,3,0.18311074624458948,0.042333401339989356,0.14168750494718552,0.22629909217357635,0.04790475329233643
swiglu,static_ephemeral,8,2048,8192,16,0,float16,3,0.14706229170163473,0.03165668200407299,0.11773854494094849,0.1806247979402542,0.03582290799833577
swiglu,static_ephemeral,8,2048,8192,32,0,float16,3,0.21853422125180563,0.14440000489144653,0.13140235096216202,0.38521550595760345,0.16340398812231746
swiglu,static_ephemeral,8,2048,8192,64,0,float16,3,0.1386680950721105,0.01913876403451661,0.11768005788326263,0.15515536069869995,0.02165755031187839
swiglu,static_ephemeral,8,4096,16384,16,0,float16,3,0.1262864718834559,0.0011894342110422536,0.12514367699623108,0.12751761823892593,0.0013459715173800466
swiglu,static_ephemeral,8,4096,16384,32,0,float16,3,0.13796376685301462,0.013660900944145916,0.12765005230903625,0.15345700085163116,0.015458764681451898
swiglu,static_ephemeral,8,4096,16384,64,0,float16,3,0.13103472689787546,0.012731470805172538,0.11765006929636002,0.14299284666776657,0.014407015469230604
swiglu,static_ephemeral,8,8192,32768,16,0,float16,3,0.27650004873673123,0.12426603753181488,0.1603059470653534,0.4075096920132637,0.14062025923143806
swiglu,static_ephemeral,8,8192,32768,32,0,float16,3,0.2681625386079152,0.13070729149684293,0.13855677098035812,0.3999441862106323,0.14790922426426834
swiglu,static_ephemeral,8,8192,32768,64,0,float16,3,0.19749862452348074,0.049340229628412946,0.16186144202947617,0.25381334125995636,0.05583372592137064
