scenario,mode,batch_tokens,hidden_dim,expansion_dim,rank,basis_size,dtype,trials,avg_ms,std_ms,min_ms,max_ms,ci95_ms
ffn,dynamic_ephemeral,8,8192,32768,32,8,float16,3,0.43987495203812915,0.03905805020461345,0.40916427969932556,0.48383399844169617,0.044198344567324764
ffn,dynamic_ephemeral,8,8192,32768,64,8,float16,3,0.6893843412399292,0.047019071740805274,0.657171942293644,0.7433397695422173,0.053207088504136496
ffn,static_ephemeral,1,2048,8192,16,0,float16,3,0.07977522909641266,0.004405251890160007,0.07468890398740768,0.08237510919570923,0.004985011794678696
ffn,static_ephemeral,1,2048,8192,32,0,float16,3,0.08040436853965123,0.003915170852674895,0.07588434964418411,0.0827394425868988,0.004430432893601845
ffn,static_ephemeral,1,2048,8192,64,0,float16,3,0.08068674554427464,0.005270587798022616,0.07461626082658768,0.0840974971652031,0.005964231556592792
ffn,static_ephemeral,1,4096,16384,16,0,float16,3,0.08035581558942795,0.0022646443028322112,0.07883813232183456,0.08295886218547821,0.0025626862758035018
ffn,static_ephemeral,1,4096,16384,32,0,float16,3,0.08077888439098994,0.002804889506150146,0.07878877222537994,0.08398685604333878,0.0031740312743889693
ffn,static_ephemeral,1,4096,16384,64,0,float16,3,0.07974890371163686,0.00123259484525996,0.0783657655119896,0.08073113858699799,0.0013948123727966627
ffn,static_ephemeral,1,8192,32768,16,0,float16,3,0.09241364896297455,0.004776469362538464,0.08696746081113815,0.09589102119207382,0.005405083909585662
ffn,static_ephemeral,1,8192,32768,32,0,float16,3,0.09177109847466151,0.009456931952625175,0.08247904479503632,0.1013847067952156,0.010701525928769991
ffn,static_ephemeral,1,8192,32768,64,0,float16,3,0.0975409522652626,0.005884513915684751,0.0910535454750061,0.1025347039103508,0.006658954358810552
ffn,static_ephemeral,8,2048,8192,16,0,float16,3,0.07720403373241425,0.0017589734508638856,0.07547084242105484,0.07898770272731781,0.0019904658388931917
ffn,static_ephemeral,8,2048,8192,32,0,float16,3,0.07617790251970291,0.0012426199154129285,0.0749494880437851,0.07743425667285919,0.0014061568076215267
ffn,static_ephemeral,8,2048,8192,64,0,float16,3,0.07523794968922932,0.0032378192790921043,0.07170531898736954,0.07806438952684402,0.0036639374314475256
ffn,static_ephemeral,8,4096,16384,16,0,float16,3,0.08191031714280446,0.001815423942190835,0.08042678236961365,0.08393470197916031,0.0020543455833656535
ffn,static_ephemeral,8,4096,16384,32,0,float16,3,0.08206137766440709,0.0023804342758504443,0.07946845144033432,0.08414778858423233,0.002693714965102913
ffn,static_ephemeral,8,4096,16384,64,0,float16,3,0.08094329386949539,0.002746877674633968,0.0789538025856018,0.0840773805975914,0.0031083847071665537
ffn,static_ephemeral,8,8192,32768,16,0,float16,3,0.10862350463867188,0.01805139433742533,0.09269397705793381,0.12823045253753662,0.020427075664722776
ffn,static_ephemeral,8,8192,32768,32,0,float16,3,0.0939343124628067,0.008757028167473665,0.08730143308639526,0.1038605347275734,0.00990951023679243
ffn,static_ephemeral,8,8192,32768,64,0,float16,3,0.09003827969233195,0.0021370890288830557,0.08765403181314468,0.09178146719932556,0.002418343895171343
swiglu,dense,1,2048,8192,0,0,float16,3,0.09425804018974304,0.020635272879961853,0.0813780352473259,0.11805873364210129,0.023351009490012824
swiglu,dense,1,4096,16384,0,0,float16,3,0.43787937611341476,0.02121729733564145,0.4136977717280388,0.45337770134210587,0.02400963216328949
swiglu,dense,1,8192,32768,0,0,float16,3,2.0676620304584503,0.029517694797919117,2.039843238890171,2.0986266434192657,0.0334024161133742
swiglu,dense,8,2048,8192,0,0,float16,3,0.09422724445660909,0.006821134474726526,0.08875280618667603,0.10186862200498581,0.007718840297317513
swiglu,dense,8,4096,16384,0,0,float16,3,0.45874379575252533,0.02654438162506742,0.42825154960155487,0.4766864702105522,0.030037795518341473
